url,content_type,content_length
https://www.justice.gov/epstein/files/DataSet%209/EFTA00276494.ts,video/vnd.dlna.mpeg-tts,4286578688
https://www.justice.gov/epstein/files/DataSet%209/EFTA01244748.wmv,video/x-ms-wmv,3898308247
https://www.justice.gov/epstein/files/DataSet%209/EFTA01244749.wmv,video/x-ms-wmv,2878425893
